Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
"Marijo Delmore, LCSW-R, CASAC",31150002700000250130000000,31150002700000250130000000,2207 Burnet Avenue,,Syracuse,Onondaga,NY,13206,"Monday - Thursday, 9 AM - 3 PM",,,,,,,,,,,,,,,315-428-8844 x4,,,,,"Provides mental health counseling to individuals ages 14 years and older.<br /><br />==============================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist, CASAC, Certified Alcohol and Substance Abuse Counselor, Alcohol Abuse Counselor",Onondaga County,,Individuals ages 14 years and older,NY 73 046656 (04/17),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information and payment options,Appointment required; call for information,Proof of insurance,Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Conjoint Counseling; Family Counseling; Individual Counseling; Anger Management; Behavior Modification; Cognitive Behavioral Therapy; Cultural Transition Counseling; Gender Identity Counseling; Bereavement Counseling; Health/Disability Related Counseling; Hoarding Counseling Programs; Internet Addiction Counseling; Sexual Orientation Counseling; Marriage Counseling; Parent Counseling; Perinatal/Postpartum Depression Counseling; Person Centered Therapy; Postabortion Counseling; Premarital Counseling; Sexual Assault Counseling; Sexual/Love Addiction Counseling; Solution Focused Therapy; Substance Use Disorder Counseling; Terminal Illness Counseling;,NY - Onondaga County;,-76.10542298,43.05861328
"Fumiyo (Miyo) Hirano, LCSW-R",31150003800000150160000000,31150003800000150160000000,182 Edgehill Road,,Syracuse,Onondaga,NY,13224,By appointment; call for hours of operation,,,,,,,,,,,315-446-8589,,,,315-446-8589,,,,,"Provides mental health counseling to individuals ages 13 years and older.<br /><br />=======================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist",Onondaga County,,Individuals ages 13 years and older,NY 73 031338 (12/17),Commercial,Private Practice,,Limited accessibility; call for details,Call to verify insurance information and sliding scale details,Appointment required; call for information,No documentation initially required,Family Counseling; Individual Counseling; Bereavement Counseling; Marriage Counseling; Divorce Counseling; Gender Identity Counseling; Stress Management; Sexual Orientation Counseling; Adolescent/Youth Counseling; Geriatric Counseling; Cultural Transition Counseling; Sexuality Counseling; Terminal Illness Counseling; Cognitive Behavioral Therapy; Solution Focused Therapy; Progressive Relaxation; Eye Movement Desensitization and Reprocessing; Behavior Modification; Private Counseling / Therapy; Caregiver Counseling; Meditation; Psychosocial Therapy; Family Counseling; Individual Counseling; Adolescent/Youth Counseling;,NY - Onondaga County;,-76.10473361,43.04295837
Blessed Sacrament School / Outreach,31150002400000080130010000,31150002400000080130010000,3129 James Street,,Syracuse,Onondaga,NY,13206,"Monday - Friday, 8 AM - 4:30 PM",315-437-4462,Pantry,315-437-3394,Church,315-463-1261,Blessed Sacrament School,,,,,,,,,,,BLSACsyr@syrdiocese.org,www.blessedsacramentschool.org/,,Provides a parochial school and food pantry.,Onondaga County,,,,501(c)(3),Nonprofit - Unincorporated,,Fully Accessible,,,,,NY - Onondaga County;,-76.10320612,43.06975832
Meals on Wheels of Syracuse,31150004200000100020000000,31150004200000100020000000,300 Burt Street,,Syracuse,Onondaga,NY,13202,"Monday - Friday, 8:30 AM - 4 PM",,,,,,,,,,,315-478-6770,,,,315-478-5948,,,www.meals.org,"Private, Nonprofit","Organizes, plans, and administers the services of delivering nutritious meals, nutrition education, and resource assistance to people living in the community unable to do so for themselves. Recipients receive one hot and one cold meal each weekday. Provides frozen and cold meals for weekends and holidays. Accommodates special dietary needs.<br /><br />=====================================<br />Syracuse Meals on Wheels","City of Syracuse, Nedrow, Onondaga Nation, Jordan, Elbridge, and Skaneateles",,"Seniors and adults in the Syracuse, Nedrow, Onondaga Nation, Skaneateles, Jordan and Elbridge areas in need of home delivered meals because of physical, cognitive, or dietary issues",,501(c)(3),Nonprofit - Incorporated,"Private Pay,State and Federal funds, Long Term Homecare Funds, Medicaid Funds for Seniors on SSI, Medicaid Managed Care Insurance through VNA Homecare Options, Fidelis and VNS of NY, Food Stamps accepted, Private and Corporate Donations, and Grants",Not applicable; services provided off-site,$7.75/day for two meals,Call to register,Diet order from MD may be required,Volunteer Opportunities; Home Delivered Meals;,NY - Onondaga County - Nedrow - 13120; NY - Onondaga County - Syracuse; NY - Onondaga County - Elbridge - 13060; NY - Onondaga County - Jordan - 13080; NY - Onondaga County - Skan - 13152; NY - Onondaga County - Skaneateles - 13152;,-76.101283,43.03941971
Centre Syracuse,31150002400000100010000000,31150002400000100010000000,3300 James Street,,Syracuse,Onondaga,NY,13206,"Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,315-671-2203,,,,315-671-2202,,intake@centresyracuse.com,www.centresyracuse.com/,,Provides an eating disorders day treatment center for individuals with Anorexia Nervosa and/or Bulimia Nervosa.,Onondaga and Oswego counties,,Individuals ages 14 years and older with an eating disorder,,Commercial,Private Practice,,Limited accessibility; call for details,Call to verify insurance information or payment plan details,Call to speak with an intake coordinator,Picture ID and proof of insurance,Psychological Assessment; Eating Disorders Treatment; Adolescent/Youth Counseling; Individual Counseling; Group Counseling; Family Counseling; Behavior Modification; Cognitive Behavioral Therapy; Dialectical Behavior Therapy; Private Counseling / Therapy;,NY - Onondaga County; NY - Oswego County;,-76.10119719,43.06851041
Psychological HealthCare,31150002400000100010000000,31150002400000100010000000,3300 James Street,,Syracuse,Onondaga,NY,13206,"All locations: Monday - Friday, 8 AM - 7 PM",315-422-0300 x5,Eastwood Office (Intake for ALL Locations),315-671-0717,Downtown Syracuse Office,315-200-1056,Liverpool Office,315-638-2853,Baldwinsville,315-601-5721,New Hartford,,,,,,,,http://www.phcny.com,,"Provides mental health counseling at multiple locations with practitioners of various specialties and target populations. Some practitioners work with individuals as young as 5 years old.<br /><br />================================<br />Therapist, Counselor, Clinical Social Worker, LCSW, LCSW-R, Psychotherapist, LMFT, Marriage and Family Therapist, LMHC, Mental Health Counselor, PhD, Psychologist, Psychological Health Care",Onondaga and Oswego counties,,Individuals ages 5 years and older (depending on provider),,Commercial,Private Practice,,All locations Fully Accessible,"Provider has indicated they accept Medicaid, however, the waiting list can exceed 1 year; call to verify insurance information and payment plan or sliding scale options",Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale or payment plans,Adult Child Sexual Abuse Counseling; Bereavement Counseling; Cultural Transition Counseling; Divorce Counseling; Employment Transition Counseling; Gambling Counseling/Treatment; Gender Identity Counseling; Geriatric Counseling; Marriage Counseling; Parent Counseling; Perinatal/Postpartum Depression Counseling; Psychiatric Disorder Counseling; Sex Offender Counseling; Sexual Assault Counseling; Sexual Orientation Counseling; Sexual/Love Addiction Counseling; Sexuality Counseling; Spiritual/Religious Issues Counseling; Substance Use Disorder Counseling; Suicide Counseling; Terminal Illness Counseling; Veteran Reintegration Counseling; Cognitive Behavioral Therapy; Dialectical Behavior Therapy; Gestalt Therapy; Person Centered Therapy; Psychodynamic Therapy; Anger Management; Behavior Modification; Eating Disorders Treatment; Eye Movement Desensitization and Reprocessing; Hypnotherapy; Meditation; Home Based Mental Health Services; General Assessment for Substance Use Disorders; Psychological Assessment; Psychological Assessment; Stress Management; Autism Therapy; Psychological Assessment; Forensic Mental Health Evaluation; Rational Emotive Therapy; Solution Focused Therapy; Private Counseling / Therapy; Drug/Alcohol Use Self Evaluation Tools; Adolescent/Youth Counseling; Conjoint Counseling; Family Counseling; Group Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling; Adolescent/Youth Counseling; Individual Counseling;,NY - Onondaga County; NY - Oswego County;,-76.10119719,43.06851041
Elmcrest Children's Center,31150003800000160310000000,31150003800000160310000000,960 Salt Springs Road,,Syracuse,Onondaga,NY,13224,"Administrative hours: Monday - Friday, 8:30 AM - 4:30 PMService hours vary by program",,,,,,,,,,,315-445-2667,,,,315-446-6250,,,www.elmcrest.org,nonprofit,"<p> Provides residential and community-based services for children with emotional, behavioral, and psychiatric disturbances along with children with developmental disabilities and serious medical conditions.</p>","Broome, Cortland, Onondaga, and Oswego counties",,"Youth with emotional, behavioral, and psychiatric disturbances, with developmental disabilities, or serious medical conditions",,501(c)(3),Nonprofit - Incorporated,Government sources and voluntary contributions,Fully Accessible,,,,,NY - Onondaga County; NY - Broome County; NY - Cortland County; NY - Oswego County;,-76.09958262,43.04492654
Jowonio School,31150003800000160380000000,31150003800000160380000000,3049 East Genesee Street,,Syracuse,Onondaga,NY,13244,"Monday - Friday, 7:30 AM - 5:30 PM",,,,,,,,,,,315-445-4060,,,,315-445-4010,,,www.Jowonio.org,"Private, Nonprofit",Provides pre-school services to young children with a range of abilities in school and home-based programs.,Onondaga County,,Preschool age children of any ability,,501(c)(3),Nonprofit - Unincorporated,"State, County, Tuition",Fully Accessible,Tuition varies by program; sliding scale fee available,,,Volunteer Opportunities;,NY - Onondaga County;,-76.0993976,43.04344573
Childtime,31150003800000160350000000,31150003800000160350000000,4645 Nixon Park Drive,,Syracuse,Onondaga,NY,13215,"Customer support: Monday - Friday, 8 AM - 6 PMChild care resource advisor: Monday - Friday, 9 AM - 10 PM; Saturday, 9 AM - 6 PMSite hours vary",844-336-7132,Child Care Resource Advisor,866-244-5384,Customer Support,,,,,,,,,,,,,customerservice@learningcaregroup.com,www.childtime.com/,,"Provides child care and early education services for children ages 6 weeks through 12 years old. Services include before and after school care, preschool programming, summer camp, and youth enrichment.",Onondaga County,,Children ages 6 weeks through 12 years,,Commercial,Commercial,,Fully Accessible,Call for tuition information,Call to schedule a tour; enrollment packet available online,Immunization records,Community Based Preschools; Extended Child Care; Day Camps; Youth Enrichment Programs;,NY - Onondaga County;,-76.09595417,43.04353041
"Jay Land, PhD",31150004300000060150000000,31150004300000060150000000,106 Windham Drive,,Syracuse,Onondaga,NY,13224,"Monday - Thursday, 1 PM - 7 PM; by appointment",,,,,,,,,,,315-446-7270,,,,315-424-9244,,,,,"Provides mental health counseling to individuals ages 18 years and older.<br /><br />================================<br />Therapist, Counselor, PhD, Psychologist, Phone Therapy, Jay M Land, PhD",Onondaga and Oswego counties,,Individuals ages 18 years and older,NY 68 003554 (01/19),Commercial,Private Practice,,Limited accessibility; call for details,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance,Conjoint Counseling; Psychodynamic Therapy; Cognitive Behavioral Therapy; Behavior Modification; Individual Counseling; Individual Counseling; Private Counseling / Therapy; Forensic Mental Health Evaluation; Sexual Orientation Counseling; Sexuality Counseling; Geriatric Counseling;,NY - Oswego County; NY - Onondaga County;,-76.09453424,43.03612475
"Colleen Felver, LCSW",31150004000000010110000000,31150004000000010110000000,112 Dewitt Street,Suite 204,Syracuse,Onondaga,NY,13203,"Monday, Wednesday, Thursday, Friday, 9 AM - 7 PM; by appointment",,,,,,,,,,,315-492-1192,,,,315-254-4804,,,,,"Provides mental health counseling to individuals ages 18 years and older.<br /><br />===========<br />Therapist, Counselor, LCSW, Clinical Social Worker",Onondaga County,,Individuals ages 18 years and older,NY 73 044922 (5/18),Commercial,Private Practice,,Limited accessibility; call for details,Call to verify insurance information and sliding scale details,Appointment required; call for information,Picture ID and proof of insurance or proof of income for sliding scale,Substance Use Disorder Counseling; Sexual Assault Counseling; Eating Disorders Treatment; Anger Management; Stress Management; Bereavement Counseling; Cultural Transition Counseling; Divorce Counseling; Employment Transition Counseling; Gender Identity Counseling; Marriage Counseling; Parent Counseling; Sexual Orientation Counseling; Sexuality Counseling; Geriatric Counseling; Individual Counseling; Behavior Modification; Cognitive Behavioral Therapy; Gestalt Therapy; Rational Emotive Therapy; Private Counseling / Therapy; Family Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Individual Counseling; Caregiver Counseling; Spouse/Intimate Partner Abuse Counseling; Health/Disability Related Counseling; Hoarding Counseling Programs; Meditation; Postabortion Counseling; Progressive Relaxation; Solution Focused Therapy;,NY - Onondaga County;,-76.08387448,43.03899396
